,id,name,quality,address,city,state,zip,phone,ownership,startdate,LAT,LON
7026,12312,Scots Centre,3,1 Test Road ,Aberdeen,AB,AB15 8UF,(0123) 123456,Non-Profit,01/01/1970,57.15400596,-2.22440188
7027,12313,Blackburn Dialysis centre,3,2 Burnley Road,Blackburn,BB,BB1 3HN,(0123) 123457,Non-Profit,01/01/1970,53.75170996,-2.453369966
7028,12314,Guildford Dialysis centre,3,3 Woodlands road,Guildford,GU,GU1 1AR,(0123) 123458,non-Profit,01/01/1970,51.26047401,-0.570127248
7029,12315,Harrow Dialysis Centre,3,4 Brindley Close,Harrow,HA,HA0 1BU,(0123) 123459,Non-Profit,01/01/1970,51.25494026,-0.576489634
7030,12316,Truro Dialysis centre,3,1 Penwerris Road,Truro,TR,TR1 3QT,(0123) 123460,Non-Profit,01/01/1970,50.26307505,-5.081055961
7031,12317,Huddersfield Dialysis,3,1 Fore Street,Huddersfield,HD,HD1 1BL,(01234) 123456,Non-Profit,01/01/1910,53.64758866,-1.782909771
7032,12318,Harrogate Dialysis,3,2 Fore Street,Harrogate,HG,HG1 1AG,(01234) 123457,Non-Profit,01/01/1910,53.9930446,-1.53895146
7033,12319,Hemel Hempstead Dialysis,3,3 Fore Street,Hemel Hempstead,HP,HP1 1BH,(01234) 123458,Non-Profit,01/01/1910,51.750132,-0.473111551
7034,12320,Outer Hebrides Dialysis,3,4 Fore Street,Outer Hebrides,HS,HS1 2AE,(01234) 123459,Non-Profit,01/01/1910,58.20682213,-6.386585758
7035,12321,Hereford Dialysis,3,5 Fore Street,Hereford,HR,HR1 1AW,(01234) 123460,Non-Profit,01/01/1910,52.07007264,-2.706133672
7036,12322,Hull Dialysis,3,6 Fore Street,Hull,HU,HU1 1HT,(01234) 123461,Non-Profit,01/01/1910,53.742743,-0.333821105
7037,12323,Halifax Dialysis,3,7 Fore Street,Halifax,HX,HX1 1DD,(01234) 123462,Non-Profit,01/01/1910,53.721236,-1.859393
7038,12324,Ilford Dialysis,3,8 Fore Street,Ilford,IL,IG1 1BN,(01234) 123463,Non-Profit,01/01/1910,51.55868348,0.072571
