,state,id,name,address,city,zip,phone,ownership,nursing,physical_therapy,occupational_therapy,speech,social,healthaide,startdate,quality,LAT,LON
11678,AB,747981,Scots Health,2 Test Road,Aberdeen,AB12 5GL,9567236600,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,09/28/2015,,57.08193792,-2.246567389
11679,BB,747982,Blackburn Health,3 Burnley Road,Blackburn,BB1 3HN,(0123) 123457,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,09/28/2015,,53.75170996,-2.453369966
11680,GU,747983,Guildford Health,4 Woodlands road,Guildford,GU1 1AR,(0123) 123458,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,09/28/2015,,51.26047401,-0.570127248
11681,HA,747984,Harrow Health,5 Brindley Close,Harrow,HA0 1BU,(0123) 123459,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,09/28/2015,,51.25494026,-0.576489634
11682,TR,747985,Truro Health,6 Penwerris Road,Truro,TR1 3QT,(0123) 123460,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,09/28/2015,,50.26307505,-5.081055961
11683,HD,747986,Huddersfield Health,1 Fore Street,Huddersfield,HD1 1BL,(01234) 123456,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/01/1910,3,53.64758866,-1.782909771
11684,HG,747987,Harrogate  Health,2 Fore Street,Harrogate,HG1 1AG,(01234) 123457,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/01/1910,3,53.9930446,-1.53895146
11685,HP,747988,Hemel Hempstead Health,3 Fore Street,Hemel Hempstead,HP1 1BH,(01234) 123458,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/01/1910,3,51.750132,-0.473111551
11686,HS,747989,Outer Hebrides Health,4 Fore Street,Outer Hebrides,HS1 2AE,(01234) 123459,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/01/1910,3,58.20682213,-6.386585758
11687,HR,747990,Hereford Health,5 Fore Street,Hereford,HR1 1AW,(01234) 123460,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/01/1910,3,52.07007264,-2.706133672
11688,HU,747991,Hull Health,6 Fore Street,Hull,HU1 1HT,(01234) 123461,Government,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,01/01/1910,3,53.742743,-0.333821105
