,id,name,address,address2,city,state,zip,county,phone,CMS Region,ownership,startdate,LAT,LON
4487,921590,Scot Hospice,25 Test road,,,AB,AB14 0TQ,,(909) 763-2553,9,Non-Profit,04/12/2017,57.10155692,-2.268485752
4488,921591,Blackburn Hospice,2 Burnley Road,,Blackburn,BB,BB1 3HN,Lancashire,(0123) 123457,9,Non-Profit,01/01/1970,53.75170996,-2.453369966
4489,921592,Guildford Hospice,3 Woodlands road,,Guildford,GU,GU1 1AR,Surrey,(0123) 123458,9,Non-Profit,01/01/1970,51.26047401,-0.570127248
4490,921593,Harrow Hospice,4 Brindley Close,,Harrow,HA,HA0 1BU,Middlesex,(0123) 123459,9,Non-Profit,01/01/1970,51.25494026,-0.576489634
4491,921594,Truro Hospice,1 Penwerris Road,,Truro,TR,TR1 3QT,Cornwall,(0123) 123460,9,Non-Profit,01/01/1970,50.26307505,-5.081055961
4492,921595,Huddersfield Hospice,1 Fore Street,,Huddersfield,HD,HD1 1BL,West Yorkshire,(01234) 123456,4,Non-Profit,01/01/1910,53.64758866,-1.782909771
4493,921596,Harrogate Hospice,2 Fore Street,,Harrogate,HG,HG1 1AG,North Yorkshire,(01234) 123457,4,Non-Profit,01/01/1910,53.9930446,-1.53895146
4494,921597,Hemel Hempstead Hospice,3 Fore Street,,Hemel Hempstead,HP,HP1 1BH,Hertfordshire,(01234) 123458,4,Non-Profit,01/01/1910,51.750132,-0.473111551
4495,921598,Outer Hebrides Hospice,4 Fore Street,,Outer Hebrides,HS,HS1 2AE,Islands,(01234) 123459,4,Non-Profit,01/01/1910,58.20682213,-6.386585758
4496,921599,Hereford Hospice,5 Fore Street,,Hereford,HR,HR1 1AW,Hertfordshire,(01234) 123460,4,Non-Profit,01/01/1910,52.07007264,-2.706133672
4497,921600,Hull Hospice,6 Fore Street,,Hull,HU,HU1 1HT,East Riding,(01234) 123461,4,Non-Profit,01/01/1910,53.742743,-0.333821105
4498,921601,Halifax Hospice,7 Fore Street,,Halifax,HX,HX1 1DD,West Yorkshire,(01234) 123462,4,Non-Profit,01/01/1910,53.721236,-1.859393
4499,921602,Ilford Hospice,8 Fore Street,,Ilford,IL,IG1 1BN,Essex,(01234) 123463,4,Non-Profit,01/01/1910,51.55868348,0.072571
4500,921603,Ipswich Hospice,9 Fore Street,,Ipswich,IP,IP1 1BE,Suffolk,(01234) 123464,4,Non-Profit,01/01/1910,52.05721264,1.153367828
4501,921604,Inverness Hospice,10 Fore Street,,Inverness,IV,IV1 1DN,Invernesshire,(01234) 123465,4,Non-Profit,01/01/1910,57.47961075,-4.226781688
4502,921605,Kilmarnock Hospice,11 Fore Street,,Kilmarnock,KA,KA1 1DD,East Ayrshire,(01234) 123466,4,Non-Profit,01/01/1910,55.61094806,-4.498642159
4503,921606,Cobham Hospice,12 Fore Street,,Cobham,KT,KT1 1DJ,Surrey,(01234) 123467,4,Non-Profit,01/01/1910,51.41006342,-0.302056149
4504,921607,Kirkwall Hospice,13 Fore Street,,Kirkwall,KW,KW1 4AP,Highland,(01234) 123468,4,Non-Profit,02/01/1910,58.44151124,-3.092934153
