,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
4806,660002,Aberdeen General ,34 Test road,Aberdeen,AB,AB16 5ST,,6702348950,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1,57.16346588,-2.15933343
4807,660003,Blackburn General,7 Burnley Road,Blackburn,BB,BB1 3HN,,(0123) 123457,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1,53.75170996,-2.453369966
4808,660004,Guildford General,8 Woodlands road,Guildford,GU,GU1 1AR,,(0123) 123458,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1,51.26047401,-0.570127248
4809,660005,Harrow General,9 Brindley Close,Harrow,HA,HA0 1BU,,(0123) 123459,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1,51.25494026,-0.576489634
4810,660006,Truro General,10 Penwerris Road,Truro,TR,TR1 3QT,,(0123) 123460,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1,50.26307505,-5.081055961
4811,660007,Huddersfield General,1 Fore Street,Huddersfield,HD,HD1 1BL,West Yorkshire,(01234) 123456,Acute Care Hospitals,Government,Yes,1,53.64758866,-1.782909771
4812,660008,Harrogate General,2 Fore Street,Harrogate,HG,HG1 1AG,North Yorkshire,(01234) 123457,Acute Care Hospitals,Government,Yes,1,53.9930446,-1.53895146
4813,660009,Hemel Hempstead General,3 Fore Street,Hemel Hempstead,HP,HP1 1BH,Hertfordshire,(01234) 123458,Acute Care Hospitals,Government,Yes,1,51.750132,-0.473111551
4814,660010,Outer Hebrides General,4 Fore Street,Outer Hebrides,HS,HS1 2AE,Islands,(01234) 123459,Acute Care Hospitals,Government,Yes,1,58.20682213,-6.386585758
4815,660011,Hereford General,5 Fore Street,Hereford,HR,HR1 1AW,Hertfordshire,(01234) 123460,Acute Care Hospitals,Government,Yes,1,52.07007264,-2.706133672
4816,660012,Hull General,6 Fore Street,Hull,HU,HU1 1HT,East Riding,(01234) 123461,Acute Care Hospitals,Government,Yes,1,53.742743,-0.333821105
4817,660013,Halifax General,7 Fore Street,Halifax,HX,HX1 1DD,West Yorkshire,(01234) 123462,Acute Care Hospitals,Government,Yes,1,53.721236,-1.859393
4818,660014,Ilford General,8 Fore Street,Ilford,IL,IG1 1BN,Essex,(01234) 123463,Acute Care Hospitals,Government,Yes,1,51.55868348,0.072571
4819,660015,Ipswich General,9 Fore Street,Ipswich,IP,IP1 1BE,Suffolk,(01234) 123464,Acute Care Hospitals,Government,Yes,1,52.05721264,1.153367828
4820,660016,Inverness General,10 Fore Street,Inverness,IV,IV1 1DN,Invernesshire,(01234) 123465,Acute Care Hospitals,Government,Yes,1,57.47961075,-4.226781688
4821,660017,Kilmarnock General,11 Fore Street,Kilmarnock,KA,KA1 1DD,East Ayrshire,(01234) 123466,Acute Care Hospitals,Government,Yes,1,55.61094806,-4.498642159
4822,660018,Cobham General,12 Fore Street,Cobham,KT,KT1 1DJ,Surrey,(01234) 123467,Acute Care Hospitals,Government,Yes,1,51.41006342,-0.302056149
4823,660019,Kirkwall General,13 Fore Street,Kirkwall,KW,KW1 4AP,Highland,(01234) 123468,Acute Care Hospitals,Government,Yes,1,58.44151124,-3.092934153
4824,660020,Kirkcaldy General,14 Fore Street,Kirkcaldy,KY,KY1 1AB,Fife,(01234) 123469,Acute Care Hospitals,Government,Yes,1,56.09885556,-3.166243041
