,id,name,address,city,state,zip,phone,county,ownership,beds,Provider Type,startdate,LAT,LON
15646,676294,Aberdeen Centre,45 Test Lane ,Aberdeen,AB,AB16 7NX,2148456200,Aberdeenshire,non profit,45,Medicare and Medicaid,09/13/2011,57.1684384,-2.161636
15647,676295,Blackburn ,2 Burnley Road,Blackburn,BB,BB1 3HN,(0123) 123457,Lancashire,non profit,50,Medicare and Medicaid,01/01/1970,53.75170996,-2.453369966
15648,676296,Guildford,3 Woodlands road,Guildford,GU,GU1 1AR,(0123) 123458,Surrey,non profit,50,Medicare and Medicaid,01/01/1970,51.26047401,-0.570127248
15649,676297,Harrow ,4 Brindley Close,Harrow,HA,HA0 1BU,(0123) 123459,Middlesex,non profit,50,Medicare and Medicaid,01/01/1970,51.25494026,-0.576489634
15650,676298,Truro ,1 Penwerris Road,Truro,TR,TR1 3QT,(0123) 123460,Cornwall,non profit,50,Medicare and Medicaid,01/01/1970,50.26307505,-5.081055961
15651,676299,Huddersfield Centre,1 Fore Street,Huddersfield,HD,HD1 1BL,(01234) 123456,West Yorkshire,Government,300,Medicare,01/01/1910,53.64758866,-1.782909771
15652,676300,Harrogate Centre,2 Fore Street,Harrogate,HG,HG1 1AG,(01234) 123457,North Yorkshire,Government,300,Medicare,01/01/1910,53.9930446,-1.53895146
15653,676301,Hemel Hempstead Centre,3 Fore Street,Hemel Hempstead,HP,HP1 1BH,(01234) 123458,Hertfordshire,Government,300,Medicare,01/01/1910,51.750132,-0.473111551
15654,676302,Outer Hebrides Centre,4 Fore Street,Outer Hebrides,HS,HS1 2AE,(01234) 123459,Islands,Government,300,Medicare,01/01/1910,58.20682213,-6.386585758
15655,676303,Hereford Centre,5 Fore Street,Hereford,HR,HR1 1AW,(01234) 123460,Hertfordshire,Government,300,Medicare,01/01/1910,52.07007264,-2.706133672
15656,676304,Hull Centre,6 Fore Street,Hull,HU,HU1 1HT,(01234) 123461,East Riding,Government,300,Medicare,01/01/1910,53.742743,-0.333821105
15657,676305,Halifax Centre,7 Fore Street,Halifax,HX,HX1 1DD,(01234) 123462,West Yorkshire,Government,300,Medicare,01/01/1910,53.721236,-1.859393
15658,676306,Ilford Centre,8 Fore Street,Ilford,IL,IG1 1BN,(01234) 123463,Essex,Government,300,Medicare,01/01/1910,51.55868348,0.072571
15659,676307,Ipswich Centre,9 Fore Street,Ipswich,IP,IP1 1BE,(01234) 123464,Suffolk,Government,300,Medicare,01/01/1910,52.05721264,1.153367828
15660,676308,Inverness Centre,10 Fore Street,Inverness,IV,IV1 1DN,(01234) 123465,Invernesshire,Government,300,Medicare,01/01/1910,57.47961075,-4.226781688
15661,676309,Kilmarnock Centre,11 Fore Street,Kilmarnock,KA,KA1 1DD,(01234) 123466,East Ayrshire,Government,300,Medicare,01/01/1910,55.61094806,-4.498642159
15662,676310,Cobham Centre,12 Fore Street,Cobham,KT,KT1 1DJ,(01234) 123467,Surrey,Government,300,Medicare,01/01/1910,51.41006342,-0.302056149
15663,676311,Kirkwall Centre,13 Fore Street,Kirkwall,KW,KW1 4AP,(01234) 123468,Highland,Government,150,Medicare,02/01/1910,58.44151124,-3.092934153
15664,676312,Kirkcaldy Centre,14 Fore Street,Kirkcaldy,KY,KY1 1AB,(01234) 123469,Fife,Government,150,Medicare,03/01/1910,56.09885556,-3.166243041
15665,676313,Liverpool Centre,15 Fore Street,Liverpool,L1,L1 0AJ,(01234) 123470,Merseyside,Government,150,Medicare,04/01/1910,53.39674185,-2.983409234
15666,676314,Liverpool Centre,16 Fore Street,Liverpool,L2,L2 0QD,(01234) 123471,Merseyside,Government,150,Medicare,05/01/1910,53.40611099,-2.992861487
15667,676315,Liverpool Centre,17 Fore Street,Liverpool,L3,L3 1DX,(01234) 123472,Merseyside,Government,150,Medicare,06/01/1910,53.412555,-2.999556
15668,676316,Liverpool Centre,18 Fore Street,Liverpool,L4,L4 0RQ,(01234) 123473,Merseyside,Government,150,Medicare,07/01/1910,53.42960701,-2.961125079
15669,676317,Liverpool Centre,19 Fore Street,Liverpool,L5,L5 0PJ,(01234) 123474,Merseyside,Government,150,Medicare,08/01/1910,53.42657561,-2.970282175
15670,676318,Liverpool Centre,20 Fore Street,Liverpool,L6,L6 0AH,(01234) 123475,Merseyside,Government,150,Medicare,09/01/1910,53.426537,-2.950596
15671,676319,Liverpool Centre,21 Fore Street,Liverpool,L7,L7 0ED,(01234) 123476,Merseyside,Government,150,Medicare,10/01/1910,53.410213,-2.946065
15672,676320,Liverpool Centre,22 Fore Street,Liverpool,L8,L8 0HA,(01234) 123477,Merseyside,Government,150,Medicare,11/01/1910,53.39165898,-2.952886351
15673,676321,Liverpool Centre,23 Fore Street,Liverpool,L9,L9 0EG,(01234) 123478,Merseyside,Government,150,Medicare,12/01/1910,53.46404675,-2.95722
15674,676322,Lancaster Centre,24 Fore Street,Lancaster,LA,LA1 1AB,(01234) 123479,Lancashire,Government,150,Medicare,13/01/1910,54.047941,-2.804344262
15675,676323,Llandrindod Wells Centre,25 Fore Street,Llandrindod Wells,LD,LD1 5AB,(01234) 123480,Powys,Government,150,Medicare,14/01/1910,52.25303128,-3.370459366
15676,676324,Leicester Centre,26 Fore Street,Leicester,LE,LE1 1DD,(01234) 123481,Leicestershire,Government,150,Medicare,15/01/1910,52.635039,-1.131614
15677,676325,Llandudno Centre,27 Fore Street,Llandudno,LL,LL11 0BY,(01234) 123482,Conwy,Government,150,Medicare,16/01/1910,53.04889153,-3.000084772
15678,676326,Lincoln Centre,28 Fore Street,Lincoln,LN,LN1 1AD,(01234) 123483,Lincolnshire,Government,150,Medicare,17/01/1910,53.24583697,-0.556349815
15679,676327,Leeds Centre,29 Fore Street,Leeds,LS,LS1 4WL,(01234) 123484,WestYorkshire,Government,150,Medicare,18/01/1910,53.7963037,-1.564125592
15680,676328,Luton Centre,30 Fore Street,Luton,LU,LU1 1BE,(01234) 123485,Bedfordshire,Government,150,Medicare,19/01/1910,51.88092123,-0.423706923
15681,676329,Manchester Centre,31 Fore Street,Manchester,M1,M1 1AD,(01234) 123486,Lancashire,Government,150,Medicare,20/01/1910,53.48384685,-2.244839
15682,676330,Manchester Centre,32 Fore Street,Manchester,M2,M2 1BB,(01234) 123487,Lancashire,Government,150,Medicare,21/01/1910,53.48166073,-2.241752576
15683,676331,Manchester Centre,33 Fore Street,Manchester,M3,M3 1EB,(01234) 123488,Lancashire,Government,150,Medicare,22/01/1910,53.491094,-2.24883
15684,676332,Manchester Centre,34 Fore Street,Manchester,M4,M4 1BE,(01234) 123489,Lancashire,Government,150,Medicare,23/01/1910,53.48509517,-2.236844275
15685,676333,Manchester Centre,35 Fore Street,Manchester,M5,M5 3AF,(01234) 123490,Lancashire,Government,150,Medicare,24/01/1910,53.47643226,-2.281484136
15686,676334,Manchester Centre,36 Fore Street,Manchester,M6,M6 5AP,(01234) 123491,Lancashire,Government,150,Medicare,25/01/1910,53.48581774,-2.280838026
15687,676335,Manchester Centre,37 Fore Street,Manchester,M7,M7 1BF,(01234) 123492,Lancashire,Government,150,Medicare,26/01/1910,53.49063019,-2.267516191
15688,676336,Manchester Centre,38 Fore Street,Manchester,M8,M8 0AD,(01234) 123493,Lancashire,Government,150,Medicare,27/01/1910,53.507303,-2.224846
15689,676337,Manchester Centre,39 Fore Street,Manchester,M9,M9 0GL,(01234) 123494,Lancashire,Government,150,Medicare,28/01/1910,53.53793471,-2.233970779
15690,676338,Rochester Centre,40 Fore Street,Rochester,ME,ME1 1AG,(01234) 123495,Kent,Government,150,Medicare,29/01/1910,51.38227962,0.505345352
15691,676339,Milton Keynes Centre,41 Fore Street,Milton Keynes,MK,MK1 1BP,(01234) 123496,Buckinghamshire,Government,150,Medicare,30/01/1910,52.00044423,-0.717705427
15692,676340,Motherwell Centre,42 Fore Street,Motherwell,ML,ML1 1BP,(01234) 123497,Lanarkshire,Government,150,Medicare,31/01/1910,55.79477512,-3.996398212
15693,676341,North London  Centre,43 Fore Street,North London ,N1,N1 0AQ,(01234) 123498,Hertfordshire,Government,150,Medicare,01/02/1910,51.53987847,-0.122151996
15694,676342,North London  Centre,44 Fore Street,North London ,N2,N2 0AE,(01234) 123499,Hertfordshire,Government,150,Medicare,02/02/1910,51.58525083,-0.171467698
15695,676343,North London  Centre,45 Fore Street,North London ,N3,N3 1AP,(01234) 123500,Hertfordshire,Government,150,Medicare,03/02/1910,51.60988221,-0.194207244
15696,676344,North London  Centre,46 Fore Street,North London ,N4,N4 1AE,(01234) 123501,Hertfordshire,Government,150,Medicare,04/02/1910,51.57818483,-0.100266693
15697,676345,North London  Centre,47 Fore Street,North London ,N5,N5 1AG,(01234) 123502,Hertfordshire,Government,150,Medicare,05/02/1910,51.55507036,-0.101143397
15698,676346,North London  Centre,48 Fore Street,North London ,N6,N6 4AG,(01234) 123503,Hertfordshire,Government,150,Medicare,06/02/1910,51.57467735,-0.15636
15699,676347,North London  Centre,49 Fore Street,North London ,N7,N7 0AH,(01234) 123504,Hertfordshire,Government,150,Medicare,07/02/1910,51.55672256,-0.131801599
15700,676348,North London  Centre,50 Fore Street,North London ,N8,N8 0AJ,(01234) 123505,Hertfordshire,Government,151,Medicare,08/02/1910,51.58368924,-0.104223091
15701,676349,North London  Centre,51 Fore Street,North London ,N9,N9 0AT,(01234) 123506,Hertfordshire,Government,152,Medicare,09/02/1910,51.62609753,-0.032628926
15702,676350,Newcastle Upon Tyne Centre,52 Fore Street,Newcastle Upon Tyne,NE,NE1 1EZ,(01234) 123507,Northumberland,Government,153,Medicare,10/02/1910,54.97154764,-1.612547907
15703,676351,Nottingham Centre,53 Fore Street,Nottingham,NG,NG1 1BZ,(01234) 123508,Nottinghamshire,Government,154,Medicare,11/02/1910,52.95604869,-1.140905729
15704,676352,Northampton Centre,54 Fore Street,Northampton,NN,NN1 1DD,(01234) 123509,Northamptonshire,Government,155,Medicare,12/02/1910,52.23627951,-0.894601704
15705,676353,Newport Centre,55 Fore Street,Newport,NP,NP10 0AN,(01234) 123510,Monmouthshire,Government,156,Medicare,13/02/1910,51.59418615,-3.053384065
15706,676354,Norwich Centre,56 Fore Street,Norwich,NR,NR1 1BG,(01234) 123511,Norfolk,Government,157,Medicare,14/02/1910,52.62928498,1.300921057
15707,676355,North West London Centre,57 Fore Street,North West London,NW,NW1 0BH,(01234) 123512,Hertfordshire,Government,158,Medicare,15/02/1910,51.53993475,-0.13413311
15708,676356,Oldham Centre,58 Fore Street,Oldham,OL,OL1 1BD,(01234) 123513,GreaterManchester,Government,159,Medicare,16/02/1910,53.53956427,-2.115408914
15709,676357,Oxford Centre,59 Fore Street,Oxford,OX,OX1 1AW,(01234) 123514,Oxfordshire,Government,160,Medicare,17/02/1910,51.74879097,-1.258713267
15710,676358,Paisley Centre,60 Fore Street,Paisley,PA,PA1 1BX,(01234) 123515,Renfrewshire,Government,161,Medicare,18/02/1910,55.84645074,-4.4253291
15711,676359,Peterborough Centre,61 Fore Street,Peterborough,PE,PE1 1DP,(01234) 123516,Cambridgeshire,Government,162,Medicare,19/02/1910,52.57143714,-0.242615
15712,676360,Perth Centre,62 Fore Street,Perth,PH,PH1 1BP,(01234) 123517,Perthshire,Government,163,Medicare,20/02/1910,56.39051623,-3.456193905
15713,676361,Plymouth Centre,63 Fore Street,Plymouth,PL,PL1 1DP,(01234) 123518,Devon,Government,164,Medicare,21/02/1910,50.371173,-4.138759
15714,676362,Portsmouth Centre,64 Fore Street,Portsmouth,PO,PO1 1BJ,(01234) 123519,Hampshire,Government,165,Medicare,22/02/1910,50.80006156,-1.07887567
15715,676363,Preston Centre,65 Fore Street,Preston,PR,PR1 0AJ,(01234) 123520,Lancashire,Government,166,Medicare,23/02/1910,53.75226932,-2.725233339
15716,676364,Reading Centre,66 Fore Street,Reading,RG,RG1 1DX,(01234) 123521,Berkshire,Government,167,Medicare,24/02/1910,51.45693188,-0.97403499
15717,676365,Redhill Centre,67 Fore Street,Redhill,RH,RH1 1AT,(01234) 123522,Surrey,Government,168,Medicare,25/02/1910,51.24248652,-0.163301677
15718,676366,Romford Centre,68 Fore Street,Romford,RM,RM1 1AU,(01234) 123523,Essex,Government,169,Medicare,26/02/1910,51.57595201,0.180118
15719,676367,Sheffield Centre,69 Fore Street,Sheffield,S1,S1 1GS,(01234) 123524,SouthYorkshire ,Government,170,Medicare,27/02/1910,53.38154939,-1.464295
15720,676368,Sheffield Centre,70 Fore Street,Sheffield,S2,S2 1BD,(01234) 123525,SouthYorkshire ,Government,171,Medicare,28/02/1910,53.36976716,-1.417880803
15721,676369,Sheffield Centre,71 Fore Street,Sheffield,S3,S3 7AP,(01234) 123526,SouthYorkshire ,Government,172,Medicare,01/03/1910,53.384084,-1.481567
15722,676370,Sheffield Centre,72 Fore Street,Sheffield,S4,S4 7AS,(01234) 123527,SouthYorkshire ,Government,173,Medicare,02/03/1910,53.40200525,-1.453087462
15723,676371,Sheffield Centre,73 Fore Street,Sheffield,S5,S5 0AW,(01234) 123528,SouthYorkshire ,Government,174,Medicare,03/03/1910,53.43271698,-1.450586247
15724,676372,Sheffield Centre,74 Fore Street,Sheffield,S6,S6 1AP,(01234) 123529,SouthYorkshire ,Government,175,Medicare,04/03/1910,53.43346252,-1.495310428
15725,676373,Sheffield Centre,75 Fore Street,Sheffield,S7,S7 1DA,(01234) 123530,SouthYorkshire ,Government,176,Medicare,05/03/1910,53.36567092,-1.47876939
15726,676374,Sheffield Centre,76 Fore Street,Sheffield,S8,S8 0BH,(01234) 123531,SouthYorkshire ,Government,177,Medicare,06/03/1910,53.335716,-1.490067
15727,676375,Sheffield Centre,77 Fore Street,Sheffield,S9,S9 1AQ,(01234) 123532,SouthYorkshire ,Government,178,Medicare,07/03/1910,53.41462845,-1.425031953
15728,676376,Swansea Centre,78 Fore Street,Swansea,SA,SA1 1DP,(01234) 123533,Glamorgan,Government,179,Medicare,08/03/1910,51.619758,-3.939351
15729,676377,South East London Centre,79 Fore Street,South East London,SE,SE1 0AL,(01234) 123534,GreaterLondon,Government,180,Medicare,09/03/1910,51.50475637,-0.096103121
15730,676378,Stevenage Centre,80 Fore Street,Stevenage,SG,SG1 1DS,(01234) 123535,Hertfordshire,Government,181,Medicare,10/03/1910,51.90337926,-0.201489032
15731,676379,Stockport Centre,81 Fore Street,Stockport,SK,SK1 1ED,(01234) 123536,GreaterManchester,Government,182,Medicare,11/03/1910,53.40756018,-2.161561721
15732,676380,Slough Centre,82 Fore Street,Slough,SL,SL0 0AT,(01234) 123537,Buckinghamshire,Government,183,Medicare,12/03/1910,51.52713771,-0.507918367
15733,676381,Sutton Centre,83 Fore Street,Sutton,SM,SM1 1BS,(01234) 123538,GreaterLondon,Government,184,Medicare,13/03/1910,51.360305,-0.19364051
