,id,name,address,city,state,zip,county,phone,ownership,startdate,LAT,LON,hospital,rehab
1199,46T004,Aberdeen Medical Centre,78 Test Crescent,Aberdeen,AB,AB21 7NB,Aberdeenshire,(0123) 123457,Government,09/01/1999,57.20886052,-2.176695622,FALSE,TRUE
1200,46T005,Blackburn Medical Centre,2 Burnley Road,Blackburn,BB,BB1 3HN,Lancashire,(0123) 123457,Government,01/01/1970,53.75170996,-2.453369966,FALSE,TRUE
1201,46T006,Guildford Medical Centre,3 Woodlands road,Guildford,GU,GU1 1AR,Surrey,(0123) 123458,Government,01/01/1970,51.26047401,-0.570127248,FALSE,TRUE
1202,46T007,Harrow Medical Centre,4 Brindley Close,Harrow,HA,HA0 1BU,Middlesex,(0123) 123459,Government,01/01/1970,51.25494026,-0.576489634,FALSE,TRUE
1203,46T008,Truro Medical Centre,1 Penwerris Road,Truro,TR,TR1 3QT,Cornwall,(0123) 123460,Government,01/01/1970,50.26307505,-5.081055961,FALSE,TRUE
1204,673027,Huddersfield Rehab Centre,1 Fore Street,Huddersfield,HD,HD1 1BL,West Yorkshire,(01234) 123456,Non-profit,01/01/1910,53.64758866,-1.782909771,FALSE,TRUE
1205,673028,Harrogate Rehab Centre,2 Fore Street,Harrogate,HG,HG1 1AG,North Yorkshire,(01234) 123457,Non-profit,02/01/1910,53.9930446,-1.53895146,FALSE,TRUE
1206,673029,Hemel Hempstead Rehab Centre,3 Fore Street,Hemel Hempstead,HP,HP1 1BH,Hertfordshire,(01234) 123458,Non-profit,03/01/1910,51.750132,-0.473111551,FALSE,TRUE
1207,673030,Outer Hebrides Rehab Centre,4 Fore Street,Outer Hebrides,HS,HS1 2AE,Islands,(01234) 123459,Non-profit,04/01/1910,58.20682213,-6.386585758,FALSE,TRUE
1208,673031,Hereford Rehab Centre,5 Fore Street,Hereford,HR,HR1 1AW,Hertfordshire,(01234) 123460,Non-profit,05/01/1910,52.07007264,-2.706133672,FALSE,TRUE
1209,673032,Hull Rehab Centre,6 Fore Street,Hull,HU,HU1 1HT,East Riding,(01234) 123461,Non-profit,06/01/1910,53.742743,-0.333821105,FALSE,TRUE
1210,673033,Halifax Rehab Centre,7 Fore Street,Halifax,HX,HX1 1DD,West Yorkshire,(01234) 123462,Non-profit,07/01/1910,53.721236,-1.859393,FALSE,TRUE
1211,673034,Ilford Rehab Centre,8 Fore Street,Ilford,IL,IG1 1BN,Essex,(01234) 123463,Non-profit,08/01/1910,51.55868348,0.072571,FALSE,TRUE
1212,673035,Ipswich Rehab Centre,9 Fore Street,Ipswich,IP,IP1 1BE,Suffolk,(01234) 123464,Non-profit,09/01/1910,52.05721264,1.153367828,FALSE,TRUE
1213,673036,Inverness Rehab Centre,10 Fore Street,Inverness,IV,IV1 1DN,Invernesshire,(01234) 123465,Non-profit,10/01/1910,57.47961075,-4.226781688,FALSE,TRUE
1214,673037,Kilmarnock Rehab Centre,11 Fore Street,Kilmarnock,KA,KA1 1DD,East Ayrshire,(01234) 123466,Non-profit,11/01/1910,55.61094806,-4.498642159,FALSE,TRUE
1215,673038,Cobham Rehab Centre,12 Fore Street,Cobham,KT,KT1 1DJ,Surrey,(01234) 123467,Non-profit,12/01/1910,51.41006342,-0.302056149,FALSE,TRUE
1216,673039,KirkwallRehab Centre,13 Fore Street,Kirkwall,KW,KW1 4AP,Highland,(01234) 123468,Non_Profit,13/01/1910,58.44151124,-3.092934153,FALSE,TRUE
1217,673040,KirkcaldyRehab Centre,14 Fore Street,Kirkcaldy,KY,KY1 1AB,Fife,(01234) 123469,Non_Profit,14/01/1910,56.09885556,-3.166243041,FALSE,TRUE
1218,673041,LiverpoolRehab Centre,15 Fore Street,Liverpool,L1,L1 0AJ,Merseyside,(01234) 123470,Non_Profit,15/01/1910,53.39674185,-2.983409234,FALSE,TRUE
1219,673042,LiverpoolRehab Centre,16 Fore Street,Liverpool,L2,L2 0QD,Merseyside,(01234) 123471,Non_Profit,16/01/1910,53.40611099,-2.992861487,FALSE,TRUE
1220,673043,LiverpoolRehab Centre,17 Fore Street,Liverpool,L3,L3 1DX,Merseyside,(01234) 123472,Non_Profit,17/01/1910,53.412555,-2.999556,FALSE,TRUE
1221,673044,LiverpoolRehab Centre,18 Fore Street,Liverpool,L4,L4 0RQ,Merseyside,(01234) 123473,Non_Profit,18/01/1910,53.42960701,-2.961125079,FALSE,TRUE
1222,673045,LiverpoolRehab Centre,19 Fore Street,Liverpool,L5,L5 0PJ,Merseyside,(01234) 123474,Non_Profit,19/01/1910,53.42657561,-2.970282175,FALSE,TRUE
1223,673046,LiverpoolRehab Centre,20 Fore Street,Liverpool,L6,L6 0AH,Merseyside,(01234) 123475,Non_Profit,20/01/1910,53.426537,-2.950596,FALSE,TRUE
1224,673047,LiverpoolRehab Centre,21 Fore Street,Liverpool,L7,L7 0ED,Merseyside,(01234) 123476,Non_Profit,21/01/1910,53.410213,-2.946065,FALSE,TRUE
1225,673048,LiverpoolRehab Centre,22 Fore Street,Liverpool,L8,L8 0HA,Merseyside,(01234) 123477,Non_Profit,22/01/1910,53.39165898,-2.952886351,FALSE,TRUE
1226,673049,LiverpoolRehab Centre,23 Fore Street,Liverpool,L9,L9 0EG,Merseyside,(01234) 123478,Non_Profit,23/01/1910,53.46404675,-2.95722,FALSE,TRUE
1227,673050,LancasterRehab Centre,24 Fore Street,Lancaster,LA,LA1 1AB,Lancashire,(01234) 123479,Non_Profit,24/01/1910,54.047941,-2.804344262,FALSE,TRUE
1228,673051,Llandrindod WellsRehab Centre,25 Fore Street,Llandrindod Wells,LD,LD1 5AB,Powys,(01234) 123480,Non_Profit,25/01/1910,52.25303128,-3.370459366,FALSE,TRUE
1229,673052,LeicesterRehab Centre,26 Fore Street,Leicester,LE,LE1 1DD,Leicestershire,(01234) 123481,Non_Profit,26/01/1910,52.635039,-1.131614,FALSE,TRUE
1230,673053,LlandudnoRehab Centre,27 Fore Street,Llandudno,LL,LL11 0BY,Conwy,(01234) 123482,Non_Profit,27/01/1910,53.04889153,-3.000084772,FALSE,TRUE
1231,673054,LincolnRehab Centre,28 Fore Street,Lincoln,LN,LN1 1AD,Lincolnshire,(01234) 123483,Non_Profit,28/01/1910,53.24583697,-0.556349815,FALSE,TRUE
1232,673055,LeedsRehab Centre,29 Fore Street,Leeds,LS,LS1 4WL,WestYorkshire,(01234) 123484,Non_Profit,29/01/1910,53.7963037,-1.564125592,FALSE,TRUE
1233,673056,LutonRehab Centre,30 Fore Street,Luton,LU,LU1 1BE,Bedfordshire,(01234) 123485,Non_Profit,30/01/1910,51.88092123,-0.423706923,FALSE,TRUE
1234,673057,ManchesterRehab Centre,31 Fore Street,Manchester,M1,M1 1AD,Lancashire,(01234) 123486,Non_Profit,31/01/1910,53.48384685,-2.244839,FALSE,TRUE
1235,673058,ManchesterRehab Centre,32 Fore Street,Manchester,M2,M2 1BB,Lancashire,(01234) 123487,Non_Profit,01/02/1910,53.48166073,-2.241752576,FALSE,TRUE
1236,673059,ManchesterRehab Centre,33 Fore Street,Manchester,M3,M3 1EB,Lancashire,(01234) 123488,Non_Profit,02/02/1910,53.491094,-2.24883,FALSE,TRUE
1237,673060,ManchesterRehab Centre,34 Fore Street,Manchester,M4,M4 1BE,Lancashire,(01234) 123489,Non_Profit,03/02/1910,53.48509517,-2.236844275,FALSE,TRUE
1238,673061,ManchesterRehab Centre,35 Fore Street,Manchester,M5,M5 3AF,Lancashire,(01234) 123490,Non_Profit,04/02/1910,53.47643226,-2.281484136,FALSE,TRUE
1239,673062,ManchesterRehab Centre,36 Fore Street,Manchester,M6,M6 5AP,Lancashire,(01234) 123491,Non_Profit,05/02/1910,53.48581774,-2.280838026,FALSE,TRUE
1240,673063,ManchesterRehab Centre,37 Fore Street,Manchester,M7,M7 1BF,Lancashire,(01234) 123492,Non_Profit,06/02/1910,53.49063019,-2.267516191,FALSE,TRUE
1241,673064,ManchesterRehab Centre,38 Fore Street,Manchester,M8,M8 0AD,Lancashire,(01234) 123493,Non_Profit,07/02/1910,53.507303,-2.224846,FALSE,TRUE
1242,673065,ManchesterRehab Centre,39 Fore Street,Manchester,M9,M9 0GL,Lancashire,(01234) 123494,Non_Profit,08/02/1910,53.53793471,-2.233970779,FALSE,TRUE
1243,673066,RochesterRehab Centre,40 Fore Street,Rochester,ME,ME1 1AG,Kent,(01234) 123495,Non_Profit,09/02/1910,51.38227962,0.505345352,FALSE,TRUE
1244,673067,Milton KeynesRehab Centre,41 Fore Street,Milton Keynes,MK,MK1 1BP,Buckinghamshire,(01234) 123496,Non_Profit,10/02/1910,52.00044423,-0.717705427,FALSE,TRUE
1245,673068,MotherwellRehab Centre,42 Fore Street,Motherwell,ML,ML1 1BP,Lanarkshire,(01234) 123497,Non_Profit,11/02/1910,55.79477512,-3.996398212,FALSE,TRUE
1246,673069,North London Rehab Centre,43 Fore Street,North London ,N1,N1 0AQ,Hertfordshire,(01234) 123498,Non_Profit,12/02/1910,51.53987847,-0.122151996,FALSE,TRUE
1247,673070,North London Rehab Centre,44 Fore Street,North London ,N2,N2 0AE,Hertfordshire,(01234) 123499,Non_Profit,13/02/1910,51.58525083,-0.171467698,FALSE,TRUE
1248,673071,North London Rehab Centre,45 Fore Street,North London ,N3,N3 1AP,Hertfordshire,(01234) 123500,Non_Profit,14/02/1910,51.60988221,-0.194207244,FALSE,TRUE
1249,673072,North London Rehab Centre,46 Fore Street,North London ,N4,N4 1AE,Hertfordshire,(01234) 123501,Non_Profit,15/02/1910,51.57818483,-0.100266693,FALSE,TRUE
