,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
4810,4001,Aberdeen Urgent Care,56 test lane,Aberdeen,AB,AB21 9BB,Aberdeenshire,(0123) 123457,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not Available,57.17977019,-2.185339771
4811,4002,Blackburn Urgent Care,2 Burnley Road,Blackburn,BB,BB1 3HN,Lancashire,(0123) 123458,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not Available,53.75170996,-2.453369966
4812,4003,Guildford Urgent Care,3 Woodlands road,Guildford,GU,GU1 1AR,Surrey,(0123) 123459,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not Available,51.26047401,-0.570127248
4813,4004,Harrow Urgent Care,4 Brindley Close,Harrow,HA,HA0 1BU,Middlesex,(0123) 123460,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not Available,51.25494026,-0.576489634
4814,4005,Truro Urgent Care,1 Penwerris Road,Truro,TR,TR1 3QT,Cornwall,(0123) 123460,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not Available,50.26307505,-5.081055961
4815,4006,Huddersfield Urgent Care,1 Fore Street,Huddersfield,HD,HD1 1BL,West Yorkshire,(01234) 123456,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not Available,53.64758866,-1.782909771
4816,4007,Harrogate Urgent Care,2 Fore Street,Harrogate,HG,HG1 1AG,North Yorkshire,(01234) 123457,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not Available,53.9930446,-1.53895146
4817,4008,Hemel Hempstead Urgent Care,3 Fore Street,Hemel Hempstead,HP,HP1 1BH,Hertfordshire,(01234) 123458,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not Available,51.750132,-0.473111551
4818,4009,Outer Hebrides Urgent Care,4 Fore Street,Outer Hebrides,HS,HS1 2AE,Islands,(01234) 123459,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not Available,58.20682213,-6.386585758
4819,4010,Hereford Urgent Care,5 Fore Street,Hereford,HR,HR1 1AW,Hertfordshire,(01234) 123460,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Government,No,Not Available,52.07007264,-2.706133672
