id,name,address,city,state,zip,phone,type,ownership,emergency,quality,LAT,LON,EBTPU,PCT,PRRP,SIPU,PTSD_DOM,DH,WSDTT,SUPT,WTRP
0438V,Aberdeen VA Clinic,78 Health Road,Aberdeen,AB,AB21 9AS,605-384-2340,VA Facility,government,no,Not Available,57.17642552,-2.174919743,,,,,,,,,
0439V,Blackburn ,22 Burnley Road,Blackburn,BB,BB1 3HN,(0123) 123457,VA Facility,Government,no,Not Available,53.75170996,-2.453369966,,,,,,,,,
0440V,Guildford,32 Woodlands road,Guildford,GU,GU1 1AR,(0123) 123458,VA Facility,Government,no,Not Available,51.26047401,-0.570127248,,,,,,,,,
0441V,Harrow ,42 Brindley Close,Harrow,HA,HA0 1BU,(0123) 123459,VA Facility,Government,no,Not Available,51.25494026,-0.576489634,,,,,,,,,
0442V,Truro ,21 Penwerris Road,Truro,TR,TR1 3QT,(0123) 123460,VA Facility,Government,no,Not Available,50.26307505,-5.081055961,,,,,,,,,
0443V,Huddersfield VA Centre,1 Fore Street,Huddersfield,HD,HD1 1BL,(01234) 123456,VA Facility,Government,no,Not Available,53.64758866,-1.782909771,,,,,,,,,
444V,Harrogate VA Centre,2 Fore Street,Harrogate,HG,HG1 1AG,(01234) 123457,VA Facility,Government,no,Not Available,53.9930446,-1.53895146,,,,,,,,,
445V,Hemel Hempstead VA Centre,3 Fore Street,Hemel Hempstead,HP,HP1 1BH,(01234) 123458,VA Facility,Government,no,Not Available,51.750132,-0.473111551,,,,,,,,,
446V,Outer Hebrides VA Centre,4 Fore Street,Outer Hebrides,HS,HS1 2AE,(01234) 123459,VA Facility,Government,no,Not Available,58.20682213,-6.386585758,,,,,,,,,
447V,Hereford VA Centre,5 Fore Street,Hereford,HR,HR1 1AW,(01234) 123460,VA Facility,Government,no,Not Available,52.07007264,-2.706133672,,,,,,,,,
448V,Hull VA Centre,6 Fore Street,Hull,HU,HU1 1HT,(01234) 123461,VA Facility,Government,no,Not Available,53.742743,-0.333821105,,,,,,,,,
449V,Halifax VA Centre,7 Fore Street,Halifax,HX,HX1 1DD,(01234) 123462,VA Facility,Government,no,Not Available,53.721236,-1.859393,,,,,,,,,
